지역코드,지역명,위도,경도
O18,경상북도 성주군,35.91621111,128.2851528
O19,경상북도 칠곡군,35.99254722,128.4037972
O20,경상북도 예천군,36.65495,128.4550222
O21,경상북도 봉화군,36.89026111,128.734875
O22,경상북도 울진군,36.99018611,129.4027861
O23,경상북도 울릉군,37.480575,130.9037889
P01,경상남도 창원시,35.2540033,128.6401544
P02,경상남도 진주시,35.17703333,128.11
P03,경상남도 통영시,34.85125833,128.4352778
P04,경상남도 사천시,35.00028333,128.0667778
P05,경상남도 김해시,35.22550556,128.8916667
P06,경상남도 밀양시,35.50077778,128.7489444
P07,경상남도 거제시,34.87735833,128.6233556
P08,경상남도 양산시,35.33192778,129.0394111
P09,경상남도 의령군,35.31911944,128.2638222
P10,경상남도 함안군,35.26940556,128.4087083
P11,경상남도 창녕군,35.54153611,128.4945333
P12,경상남도 고성군,34.9699,128.3245417
P13,경상남도 남해군,34.83455833,127.8944667
P14,경상남도 하동군,35.06420278,127.7534306
P15,경상남도 산청군,35.41249167,127.8756194
P16,경상남도 함양군,35.51746944,127.7274194
P17,경상남도 거창군,35.683625,127.9116556
P18,경상남도 합천군,35.56361667,128.1679306
Q01,제주도,33.48569444,126.5003333
