축제번호,축제명,소분류,개최장소,축제 기간,축제내용,주관기관,지역 코드
F0368,제31회 시민의 날 문화행사,문화,오산천(종합운동장 뒤편),9,축하공연 등,오산시,I18
F0369,제5회 오산천 두바퀴 축제,문화,오산천일원,4,자전거 퍼레이드 등,(재)오산문화재단,I18
F0370,제7회 오산 봄누리 예술축제,예술,고인돌 공원,5,청소년스타오디션등,(사)한국예술문화단체 총연합회오산지회,I18
F0371,2019 양주 천만송이 천일홍 축제,꽃놀이,양주2동,9,지역축제,양주시,I19
F0372,감악문화축제,문화,남면,9,지역축제,남면사회단체협의회,I19
F0373,설봉산별빛축제,자연,설봉공원야외대공연장,7,대중예술공연(총 7회공연),(사)이천예총,I20
F0374,이천도자기축제,역사,이천시 신둔면 예스파크,4,도자기전시+체험,이천시도자기축제추진위원회,I20
F0375,이천백사산수유꽃축제,꽃놀이,"백사면 도립리, 송말리, 경사리일원",3,공연+체험+산수유제품판매,이천백사산수유꽃축제추진위원회,I20
F0376,이천쌀문화축제,먹거리,이천시 설봉공원,10,공연+농촌체험+농산물판매,이천쌀문화축제추진위원회,I20
F0377,이천인삼축제,먹거리,이천시 설봉공원,10,인삼판매+먹거리장터+농산물판매,경기동부인삼농협,I20
F0378,체험문화축제,체험,이천시 설봉공원,5,음식만들기+공예체험+스포츠 놀이체험,(사)이천농촌나드리,I20
F0379,햇사레장호원복숭아축제,먹거리,장호원햇사레산지유통센터,9,복숭아축제,장호원농협,I20
F0380,제15회 구리 코스모스 축제,꽃놀이,구리한강 시민공원,10,코스모스 축제,(사)한국예총 구리지회,I21
F0381,제17회 구리 유채꽃 축제,꽃놀이,구리한강 시민공원,5,무대공연| 체험부스운영| 먹거리 체험| 꽃 관람,(사)한국예총 구리지회,I21
F0382,제17회 구리 코스모스 축제,꽃놀이,구리한강 시민공원,9,무대공연| 체험부스운영| 먹거리 체험| 꽃 관람,(사)한국예총 구리지회,I21
F0383,2019 안성맞춤 남사당 바우덕이축제,역사,안성맞춤랜드,10,남사당공연| 국내 전통공연| 해외민속공연| 안성장터 재현 등,안성맞춤남사당바우덕이축제위원회,I22
F0384,산정호수윈터페스타,자연,포천산정호수,12,산정호수 청춘야행| 별빛공원달빛거리| 겨울억새꽃축제| 산정호수썰매축제,포천시,I23
F0385,의왕백운예술제,예술,백운호수주차장,9,예술행사 체험,의왕시,I24
F0386,의왕철도축제,기술,"레솔레파크, 철도박물관 등",5,의왕철도축제 체험 및 공연,의왕시,I24
F0387,제27회 용문산 영목제,예술,용문산관광지내,10,산신제| 헌주제| 기원제,양평문화원,I25
F0388,2019 여주오곡나루축제(취소),역사,여주 신륵사관광지 일원,10,각종 공연 및 체험 농특산물 판매,재단법인 여주세종문화재단,I26
F0389,2019 제4회 이담농악두드림대축제,예술,중앙 도심교통광장,6,동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제,이담농악보존회,I27
F0390,DDC할로윈클럽데이,문화,보산동 한미우호광장,10,할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌,경기관광공사,I27
F0391,동두천 청소년 별자리과학 축제,청소년,종합운동장,10,경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발,(사)어수회,I27
F0392,동두천시 자원봉사 축제,나눔,송내동 시민평화공원,10,자원봉사자와 시민| 청소년 모두가 하나되는 나눔의 장,(사)동두천시자원봉사센터,I27
F0393,상패남산축제,문화,상패동수변공원,9,공연|체험|먹거리장터등,상패동주민자치위원회,I27
F0394,왕방산 국제MTB대회,운동,왕방산 일원,10,국제MTB대회,(사)대한자전거연맹,I27
F0395,제4회 동두천 국제 트레일러닝 대회,운동,종합운동장,4,천혜의 자연 경관을 바탕으로 명실상부한 국내 최고의 트레일러닝대회,럭엑스런,I27
F0396,천사마라톤대회,운동,종합운동장,10,천사데이기념 마라톤대회,사)희망지킴이 천사운동본부,I27
F0397,크리스마스트리축제,문화,동두천 큰시장 일원,11,크리스마스트리축제,크리스마스트리축제 조직위원회,I27
F0398,자라섬 국제재즈페스티벌,예술,가평읍 읍내리 자라섬 일원,10,재즈공연| 전시 및 체험| 먹거리 등,(사)자라섬청소년재즈센터,I28
F0399,2014 안양 아줌마축제,문화,평촌중앙공원,8,아줌마 축제 개막식 및 폐막식| 주민자치센터 동호회 공연  등,경인일보,I30
